Type,Method,Size,Run,Correct,Total Time (ms),Kernel Time (ms)
int64,ParallelNaive,10000,3,true,0.16509,0.13584
int64,ParallelNaive,100000,1,true,0.71584,0.55194
int64,ParallelNaive,100000,2,true,0.71869,0.55120
int64,ParallelNaive,100000,3,true,0.71504,0.55254
int64,ParallelNaive,1000000,1,true,5.69936,4.66486
int64,ParallelNaive,1000000,2,true,5.67216,4.69312
int64,ParallelNaive,1000000,3,true,5.64768,4.66656
int64,ParallelNaive,10000000,1,true,79.95443,70.82621
int64,ParallelNaive,10000000,2,true,79.88406,70.69766
int64,ParallelNaive,10000000,3,true,79.76566,70.68474
float,SingleThread,10,1,true,0.04109,0.02253
float,SingleThread,10,2,true,0.01968,0.00614
float,SingleThread,10,3,true,0.01837,0.00614
float,SingleThread,100,1,true,0.05901,0.04403
float,SingleThread,100,2,true,0.06294,0.04518
float,SingleThread,100,3,true,0.05984,0.04403
float,SingleThread,1000,1,true,0.57568,0.56218
float,SingleThread,1000,2,true,0.57578,0.56125
float,SingleThread,1000,3,true,0.57629,0.56218
float,SingleThread,10000,1,true,7.48803,7.46096
float,SingleThread,10000,2,true,7.48147,7.46189
float,SingleThread,10000,3,true,7.47987,7.45984
float,SingleThread,100000,1,true,111.54861,111.46169
float,SingleThread,100000,2,true,111.71140,111.62534
float,SingleThread,100000,3,true,111.54112,111.45724
float,SingleThread,1000000,1,true,1330.06567,1329.51538
float,SingleThread,1000000,2,true,1330.04138,1329.51123
float,SingleThread,1000000,3,true,1330.07202,1329.54358
float,SingleThread,10000000,1,true,18370.88477,18366.25195
float,SingleThread,10000000,2,true,18366.62891,18362.02930
float,SingleThread,10000000,3,true,18416.64648,18412.02734
float,ParallelNaive,10,1,true,0.04749,0.02662
float,ParallelNaive,10,2,true,0.01981,0.00717
float,ParallelNaive,10,3,true,0.03530,0.01638
float,ParallelNaive,100,1,true,0.04374,0.03280
float,ParallelNaive,100,2,true,0.04288,0.03277
float,ParallelNaive,100,3,true,0.04298,0.03277
float,ParallelNaive,1000,1,true,0.09843,0.08499
float,ParallelNaive,1000,2,true,0.09498,0.08090
float,ParallelNaive,1000,3,true,0.09485,0.08090
float,ParallelNaive,10000,1,true,0.15437,0.12288
float,ParallelNaive,10000,2,true,0.14506,0.12288
float,ParallelNaive,10000,3,true,0.14410,0.12186
float,ParallelNaive,100000,1,true,0.59549,0.50957
float,ParallelNaive,100000,2,true,0.58688,0.49974
float,ParallelNaive,100000,3,true,0.59610,0.50934
float,ParallelNaive,1000000,1,true,4.82602,4.29722
float,ParallelNaive,1000000,2,true,4.71680,4.19494
float,ParallelNaive,1000000,3,true,4.71011,4.19315
float,ParallelNaive,10000000,1,true,61.05197,56.42278
float,ParallelNaive,10000000,2,true,63.79315,59.14176
float,ParallelNaive,10000000,3,true,63.85267,59.24768
double,SingleThread,10,1,true,0.03805,0.02074
double,SingleThread,10,2,true,0.01914,0.00614
double,SingleThread,10,3,true,0.01830,0.00627
double,SingleThread,100,1,true,0.06790,0.05427
double,SingleThread,100,2,true,0.06710,0.05530
double,SingleThread,100,3,true,0.06765,0.05530
double,SingleThread,1000,1,true,0.74022,0.72602
double,SingleThread,1000,2,true,0.73968,0.72602
double,SingleThread,1000,3,true,0.74077,0.72704
double,SingleThread,10000,1,true,12.93440,12.90538
double,SingleThread,10000,2,true,12.93542,12.90694
double,SingleThread,10000,3,true,12.93331,12.90282
double,SingleThread,100000,1,true,164.00429,163.84685
double,SingleThread,100000,2,true,164.00137,163.84685
double,SingleThread,100000,3,true,164.01248,163.84769
double,SingleThread,1000000,1,true,1976.94141,1975.94128
double,SingleThread,1000000,2,true,1977.03162,1976.04138
double,SingleThread,1000000,3,true,1976.92969,1975.91992
double,SingleThread,10000000,1,true,31606.76953,31597.66016
double,SingleThread,10000000,2,true,31608.04297,31598.94141
double,SingleThread,10000000,3,true,31609.83398,31600.74805
double,ParallelNaive,10,1,true,0.04707,0.02765
double,ParallelNaive,10,2,true,0.01987,0.00717
double,ParallelNaive,10,3,true,0.01885,0.00643
double,ParallelNaive,100,1,true,0.05478,0.03584
double,ParallelNaive,100,2,true,0.05165,0.03594
double,ParallelNaive,100,3,true,0.05146,0.03584
double,ParallelNaive,1000,1,true,0.10720,0.09318
double,ParallelNaive,1000,2,true,0.10278,0.08909
double,ParallelNaive,1000,3,true,0.10381,0.08909
double,ParallelNaive,10000,1,true,0.17478,0.14752
double,ParallelNaive,10000,2,true,0.17360,0.14477
double,ParallelNaive,10000,3,true,0.16547,0.14045
double,ParallelNaive,100000,1,true,0.71222,0.55523
double,ParallelNaive,100000,2,true,0.70224,0.54451
double,ParallelNaive,100000,3,true,0.71203,0.54000
double,ParallelNaive,1000000,1,true,5.51939,4.52403
double,ParallelNaive,1000000,2,true,5.69050,4.71670
double,ParallelNaive,1000000,3,true,5.50374,4.52934
double,ParallelNaive,10000000,1,true,80.36999,71.28583
double,ParallelNaive,10000000,2,true,72.43139,63.36240
double,ParallelNaive,10000000,3,true,80.88797,71.79238
